target,PAH3.3_strength,PAH3.3_strength_unc,PAH3.3_strength_16th,PAH3.3_strength_84th,PAH3.3_EW,PAH3.3_EW_unc,PAH3.3_EW_16th,PAH3.3_EW_84th,PAH6.2_strength,PAH6.2_strength_unc,PAH6.2_strength_16th,PAH6.2_strength_84th,PAH6.2_EW,PAH6.2_EW_unc,PAH6.2_EW_16th,PAH6.2_EW_84th,PAH7.7_strength,PAH7.7_strength_unc,PAH7.7_strength_16th,PAH7.7_strength_84th,PAH7.7_EW,PAH7.7_EW_unc,PAH7.7_EW_16th,PAH7.7_EW_84th,PAH8.3_strength,PAH8.3_strength_unc,PAH8.3_strength_16th,PAH8.3_strength_84th,PAH8.3_EW,PAH8.3_EW_unc,PAH8.3_EW_16th,PAH8.3_EW_84th,PAH8.6_strength,PAH8.6_strength_unc,PAH8.6_strength_16th,PAH8.6_strength_84th,PAH8.6_EW,PAH8.6_EW_unc,PAH8.6_EW_16th,PAH8.6_EW_84th,PAH11.3_strength,PAH11.3_strength_unc,PAH11.3_strength_16th,PAH11.3_strength_84th,PAH11.3_EW,PAH11.3_EW_unc,PAH11.3_EW_16th,PAH11.3_EW_84th
COSMOS_1018tot,1.4259783578831504e-18,-99.0,-99.0,-99.0,0.0,0.019346256364928354,0.0,0.0,2.5526933049009813e-18,3.6587077560495e-20,2.525771573348658e-18,2.597746437470723e-18,0.23181423342072385,0.003965999505617017,0.22921712544044495,0.2356324236907871,9.663146590971537e-18,6.654776613215854e-19,8.50609031899477e-18,1.0067234144581407e-17,0.9765340247029481,0.0938593609160348,0.8164108816990978,1.0360659054801586,1.5184785867550758e-18,1.081887318959007e-19,1.3510263084723437e-18,1.5935307836580172e-18,0.1511838159009628,0.014489741539223165,0.12915315775749958,0.16179553930775273,1.1897257835959615e-18,4.730884290460357e-20,1.139884688999699e-18,1.233624283094125e-18,0.12099177959386015,0.007163293010870911,0.11237602027340694,0.12745549868821288,2.2600711907500427e-18,1.2942689493202178e-19,2.1663403237210266e-18,2.4125943851474395e-18,0.2125034452236489,0.0179789492781816,0.20129211915559977,0.2341944595742827
COSMOS_1018A,3.0346923690766464e-19,-99.0,-99.0,-99.0,0.0,0.011609350355995198,0.0,0.0,6.998633737527684e-19,3.9291126911645886e-20,6.864172535866479e-19,7.384095188271575e-19,0.12512317470619078,0.008516565756544806,0.12235566518944586,0.13384219315141188,3.0081535425751473e-18,3.311155323887367e-19,2.8429348585313694e-18,3.3618611113551813e-18,0.6158986464955729,0.08468463449617826,0.5770996300136432,0.7130805040880892,5.702747157779229e-19,4.5951639573816316e-20,5.293567639533658e-19,6.23892552424408e-19,0.11712932923524694,0.012196437461548165,0.10641880014206556,0.1317232951996484,4.752000356707026e-19,2.0975436107706768e-20,4.518759427068276e-19,4.969747441457865e-19,0.098385584861306,0.005995034429525757,0.09201569175110308,0.10522476606666574,1.0473824161333427e-18,1.0324498812683174e-19,9.402533041931942e-19,1.1357050758503686e-18,0.18646013969507913,0.025161474096825103,0.16243921401706055,0.20978361744955606
COSMOS_1018B,2.929267645511897e-19,-99.0,-99.0,-99.0,0.0,0.046388011730322885,0.0,0.07955989311003005,4.479921773059776e-19,1.257942417259041e-20,4.372298202150542e-19,4.570268453147501e-19,0.4562341829030015,0.03485910834015221,0.43415488887945103,0.4765050854772676,1.7414161624787406e-18,1.4322765927821938e-19,1.6255106234242545e-18,1.8426745887504806e-18,2.317012887828784,0.4292443784037922,1.9952670523559806,2.624306906164215,2.9666708291693446e-19,2.441935951594119e-20,2.766857191869172e-19,3.2073814585509296e-19,0.43267084281633633,0.07657723923630222,0.37892438395817096,0.5037051998089024,2.6681857619567296e-19,1.1238199474751497e-20,2.5782065585840453e-19,2.781090667953343e-19,0.41429158133815513,0.047872380149048085,0.3778652483101376,0.461907841624383,4.072855664098807e-19,4.044418053869337e-20,3.7370699870782083e-19,4.427881535389508e-19,0.5468610282696036,0.2479568473627961,0.2841696716100336,0.7512060636849678
COSMOS_1018ISM,1.0481650614036819e-18,-99.0,-99.0,-99.0,0.0,0.027475330067478262,0.0,0.04048149589202093,1.2977689714744344e-18,2.655467432224903e-20,1.2741734302964391e-18,1.3325673953729656e-18,0.2926331255670931,0.007337467298544342,0.2863118870529246,0.3020657515359589,4.964377453580011e-18,2.695593840791529e-19,4.668191989037959e-18,5.2228921038918405e-18,1.276447795922291,0.11420288385298434,1.156165640451817,1.3845384795463842,8.996966121803994e-19,6.379085235111152e-20,8.290397211211011e-19,9.523685475206397e-19,0.2278098436721624,0.024226289895811142,0.2024493428758937,0.24988545893410466,5.94100708494671e-19,3.191563702081201e-20,5.562558485778387e-19,6.197756428501254e-19,0.1535681352029855,0.01257958450764254,0.139499018616529,0.16468938476245945,9.348058525958332e-19,1.521673727417438e-19,7.972551604106316e-19,1.1080347487153573e-18,0.23135532276925624,0.06790910478958204,0.1884222054363354,0.31711565470172276
COSMOS_996tot,1.4070630962421187e-18,-99.0,-99.0,-99.0,0.1555169336524962,0.08089745374455055,0.10462280798847567,0.20959457990686958,8.580042471800718e-18,1.963926981362666e-19,8.431637231915855e-18,8.879491889794178e-18,1.8010547872847367,0.4847897999703182,1.6374045016927508,2.765518100648957,2.4523845563767002e-17,2.200434874698841e-18,2.3685497423186275e-17,2.894047176169461e-17,4.684599016387434,2.300094266998621,4.200347701377495,9.627973066278736,2.2905621606997606e-18,2.7958617534278153e-19,2.2066158033892362e-18,2.8904984523100735e-18,0.4955627363827831,0.20882902764393294,0.4504024451538401,0.9586118461288177,5.756278018884896e-18,1.1131340805752148e-19,5.71050185701561e-18,5.989842406485241e-18,1.3983414941854315,0.28177049849679614,1.3239475601494006,2.013407446256607,5.1070179780835885e-18,1.110197999890301e-19,5.02956922804739e-18,5.245631949237652e-18,1.2912706582790168,0.16463304933609033,1.2319647095373976,1.5934128810718162
COSMOS_996A,2.46072974820544e-19,4.550490188356149e-20,1.9933199724976566e-19,2.9516257494977835e-19,0.0715311051279029,0.036401231569416735,0.05664152175239244,0.11844418174664885,2.2992943239635286e-18,3.967951957732468e-20,2.2229520231333988e-18,2.3100519706947843e-18,3.0039196635526313,0.5606054974533199,1.8364235449680584,3.1113479225391276,7.92476955208682e-18,6.461727210855347e-19,6.550491341131095e-18,7.968580690506647e-18,11.172636505617719,2.880832225525975,5.274925995975831,11.604119145612312,7.548578798572585e-19,4.939921482734024e-20,6.925809364994421e-19,7.621895792877434e-19,1.0440612250901586,0.18991106427641596,0.6907687408527806,1.07396436511057,1.5618926854281623e-18,1.3895382865496935e-20,1.549480391661399e-18,1.5666221793163923e-18,2.1637525999813407,0.24142569853915644,1.7293089277986962,2.213627585230336,1.4314185779055256e-18,2.6591242078706117e-20,1.4027444372805783e-18,1.4522589633647812e-18,1.76543230739088,0.15327981197272275,1.521603915337072,1.8317056455606546
COSMOS_996ISM,1.2152469065136765e-18,-99.0,-99.0,-99.0,0.1464008082949346,0.1433244875638885,0.10717680882703498,0.19117941829000282,6.414859414348193e-18,1.3364991176846624e-19,6.2902293536054844e-18,6.599659621362385e-18,1.8874235384963072,0.4561994677317999,1.639950515347477,2.649442914634006,1.8379814422865727e-17,1.647362508614673e-18,1.7264530846910255e-17,2.100340755368087e-17,5.088283148064189,2.2950849219473093,4.132991122363423,9.18196159533582,1.76070396125749e-18,2.1281411761100313e-19,1.63163492677719e-18,2.123863825230852e-18,0.5379140065948819,0.21189768682277535,0.44784012356786984,0.9282667866830129,4.294368397376091e-18,8.986322573315694e-20,4.244649228302247e-18,4.451317780952227e-18,1.4499158026438281,0.28936929698474756,1.317474528267019,1.978900043714124,3.7521673934078815e-18,8.707184544787932e-20,3.6717465269307914e-18,3.853029454012611e-18,1.3129743996133212,0.16090655422367883,1.2216288715391814,1.5714208574341615
COSMOS_1148tot,7.37829638453268e-19,2.4781023238791314e-19,5.55787003091188e-19,1.0065846507294521e-18,0.04821980845799325,0.07467226382894057,0.033228053255342165,0.09144561616486742,3.385320984976108e-18,2.872391861946006e-20,3.363601651015097e-18,3.4117740530372247e-18,0.5587605547592503,0.014135818353508817,0.5532973094214728,0.5676940473311622,8.370024177199651e-18,4.124970308794049e-19,8.347166807151129e-18,8.429975994484272e-18,1.4714818671235352,0.12423976636474664,1.4601547273693483,1.4936534381492987,6.959200095027892e-19,3.7573091520626425e-20,6.747818892013716e-19,7.205379443161714e-19,0.11535042458774536,0.009358745059609118,0.11164928056075667,0.12016335955550687,2.0593409670308164e-18,3.532424242974321e-20,2.0454985423461462e-18,2.076890575025425e-18,0.34194940557113973,0.012883551474223253,0.33833351627881736,0.3469229028435501,1.8142391086451088e-18,1.0208311859931889e-19,1.7185142700138111e-18,1.896461526699087e-18,0.3050213809186756,0.025636349129239257,0.2859511647359275,0.3253915750589079
COSMOS_1148A,2.3075461514656835e-19,-99.0,-99.0,-99.0,0.0,0.020000090720169537,0.0,0.029295618529855336,7.367795129020873e-19,1.2621360380471802e-20,7.268261812537954e-19,7.505783304669167e-19,0.3812402929273043,0.017942446894238854,0.3702118153745519,0.40251479491193876,1.997896776993658e-18,2.091711645395219e-19,1.7041127695880499e-18,2.2131597163158908e-18,1.1544105890231626,0.18117467140656932,0.933358691600205,1.371618762033236,1.29078003522504e-19,2.4829575913440956e-20,8.813463834775458e-20,1.4404261074803098e-19,0.0718167921183724,0.01551080235431788,0.04764384389664886,0.08341499976905224,3.9952912614725197e-19,1.1466878112216712e-20,3.8271532475900365e-19,4.062734504338717e-19,0.2225794083246366,0.010404799031791674,0.20628019223324365,0.22960914943970037,5.624652461460474e-19,2.4714610350829734e-20,5.409311647832517e-19,5.839800196988405e-19,0.3206460200644322,0.020378317952679987,0.3021445152777551,0.3422529510559825
COSMOS_1148ISM,8.964785409486457e-19,2.70152450571534e-19,6.449743630581242e-19,1.0909087349706984e-18,0.0744624404054906,0.08179868855286651,0.04864951129771755,0.14627930455036448,2.555164411622415e-18,2.301939192495091e-20,2.5296398457089143e-18,2.5749219919617143e-18,0.6123582265512157,0.009572965160972516,0.5998396257016184,0.6194608525779683,6.556413346944669e-18,1.383037256265596e-19,6.523112629903641e-18,6.610460981816423e-18,1.7024972103908247,0.06300457872717864,1.6822581050945398,1.7371913390163292,6.454532765495462e-19,1.9034317345863245e-20,6.235143085270013e-19,6.6346825713878585e-19,0.15823380351430935,0.006097466624877467,0.15170061706952082,0.163022204104216,1.6908502744563195e-18,1.4774094460742894e-20,1.6769277431720058e-18,1.7040120567409296e-18,0.41358048723507,0.007349284186729125,0.40817134655183324,0.41868993333013704,1.392234757983402e-18,8.951134780119781e-20,1.2830357738951868e-18,1.4722222421268553e-18,0.3382884309755624,0.03388026906804456,0.3047209673102799,0.3759583115022851
